"ref_id","fault_id","name"
1,"100","Anacapa-Dume, alt 1"
2,"1003","Dutchman Draw fault"
3,"100_alt2","Anacapa-Dume, alt 2"
4,"101","Santa Monica, alt 1"
5,"101_alt1","Santa Monica Connected alt 1"
6,"101_alt2","Santa Monica Connected alt 2"
7,"102","Hollywood"
8,"1023c","New Madrid central fault"
9,"1023e","New Madrid eastern fault"
10,"1023me","New Madrid mid-eastern fault"
11,"1023mw","New Madrid mid-western fault"
12,"1023w","New Madrid western fault"
13,"103","Raymond"
14,"1031b","Meers fault"
15,"104","Verdugo"
16,"105a","Santa Susana, alt 1"
17,"105b","Sierra Madre (San Fernando)"
18,"105b_g","Sierra Madre Connected"
19,"105cdfg","Sierra Madre"
20,"105e","Clamshell-Sawpit"
21,"105h","Cucamonga"
22,"107","San Jose"
23,"1073","West Spring Mountains fault"
24,"1079","Bare Mountain fault"
25,"108","Cleghorn"
26,"109a","North Frontal (West)"
27,"109b","North Frontal (East)"
28,"110abc","Helendale-So Lockhart"
29,"1115","Sheep Basin fault"
30,"1116","Black Hills fault"
31,"1117","Frenchman Mountain fault"
32,"1118","California Wash fault"
33,"111ab117","Lenwood-Lockhart-Old Woman Springs"
34,"112","Gravel Hills-Harper Lake"
35,"1121","Coyote Spring fault"
36,"1123","Kane Spring Wash fault"
37,"1124","Dry Lake fault"
38,"113","Blackwater"
39,"1130","Hiko fault zone"
40,"1132","Penoyer fault"
41,"1134","Dunn Glenn fault"
42,"1135","Grass Valley fault zone"
43,"1136abcd","Pleasant Valley fault zone"
44,"1137","Edna Mountain fault"
45,"1139","Buffalo Mountain fault"
46,"1140","Buffalo Valley fault zone"
47,"1142","Battle Mountain fault"
48,"1144","Jersey Valley fault zone"
49,"1148","Shoshone Range fault zone"
50,"114ab115b116","Landers"
51,"114abc","So Emerson-Copper Mtn"
52,"1150","Sheep Creek Range southeastern fault"
53,"1151","Beowawe fault"
54,"1154","Marys Mountain fault"
55,"1155","Carico Lake Valley fault zone"
56,"1157ab","Cortez Mountain fault zone"
57,"1158","Northern Simpson Park Mountains fault zone"
58,"115a","Johnson Valley (No)"
59,"1161","Diamond Valley fault"
60,"1178","Simpson Park Mountains fault zone"
61,"118","Pinto Mtn"
62,"1181","Northern Roberts Mountains fault"
63,"1187","Middlegate fault zone"
64,"119","Burnt Mtn"
65,"1190","Clan Alpine fault zone"
66,"1191","Eastern Edwards Creek Valley fault zone"
67,"1192","Buffalo Creek fault zone"
68,"1193","Desatoya Mountains fault zone"
69,"12","Big Lagoon-Bald Mtn"
70,"120","Eureka Peak"
71,"1211","Western Diamond Mountains fault zone"
72,"1212","Diamond Mountains fault"
73,"121abc","Calico-Hidalgo"
74,"1223","Jakes Valley fault zone"
75,"122abcd123","Pisgah-Bullion Mtn-Mesquite Lake"
76,"1241","Schell Creek Range fault system"
77,"125a","San Jacinto;SBV"
78,"125b","San Jacinto;SJV"
79,"125c","San Jacinto;A"
80,"125d","San Jacinto;CC"
81,"125e","San Jacinto;B"
82,"125f","Elmore Ranch"
83,"125f_SH","Superstition Hills"
84,"1261","Antelope Range-Kingsley Mountains fault zone"
85,"126a","Elsinore;W"
86,"126b295","Chino, alt 2"
87,"126b_alt1","Chino, alt 1"
88,"126c","Elsinore;GI"
89,"126d","Elsinore;T"
90,"126e","Elsinore;J"
